# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
-,진주혁신도시본점,20260626435,500m안,41,버블PC 혁신도시점,경남 진주시 충의로 20-9,35.175786,128.147639,버블pc,,"https://map.kakao.com/link/map/%EB%B2%84%EB%B8%94PC%20%ED%98%81%EC%8B%A0%EB%8F%84%EC%8B%9C%EC%A0%90,35.17578616699699,128.14763911932135",,
-,진주혁신도시본점,20260626435,500m안,58,OXPC 진주혁신도시점,경남 진주시 충의로 22,35.176408,128.147486,oxpc 진주혁신도시점,,"https://map.kakao.com/link/map/OXPC%20%EC%A7%84%EC%A3%BC%ED%98%81%EC%8B%A0%EB%8F%84%EC%8B%9C%EC%A0%90,35.1764077047556,128.147486490889",,
-,진주혁신도시본점,20260626435,500m안,84,더토랑 진주본점,경남 진주시 충의로 20-37,35.176144,128.148100,더토랑pc,,"https://map.kakao.com/link/map/%EB%8D%94%ED%86%A0%EB%9E%91%20%EC%A7%84%EC%A3%BC%EB%B3%B8%EC%A0%90,35.1761441227428,128.148099702452",,
A,시흥능곡점,20230324392,500m밖,1570,슈프림PC CAFE,경기 시흥시 황고개로 486,37.374155,126.790167,,,"https://map.kakao.com/link/map/%EC%8A%88%ED%94%84%EB%A6%BCPC%20CAFE,37.374155291718,126.79016678999201",,
-,시흥능곡점,20230324392,500m안,58,링크PC방,경기 시흥시 능곡번영길 25,37.369580,126.807237,링크피시방,,"https://map.kakao.com/link/map/%EB%A7%81%ED%81%ACPC%EB%B0%A9,37.3695801102723,126.807236593624",,
-,시흥능곡점,20230324392,500m안,187,골드PC,경기 시흥시 승지로59번길 8,37.369364,126.809056,,,"https://map.kakao.com/link/map/%EA%B3%A8%EB%93%9CPC,37.3693641122433,126.809055853656",,
-,시흥능곡점,20230324392,500m안,351,욜로PC방 시흥능곡점,경기 시흥시 장현능곡로 188,37.369313,126.810997,,,"https://map.kakao.com/link/map/%EC%9A%9C%EB%A1%9CPC%EB%B0%A9%20%EC%8B%9C%ED%9D%A5%EB%8A%A5%EA%B3%A1%EC%A0%90,37.3693131679759,126.810996613424",,
-,시흥능곡점,20230324392,500m안,435,제로백PC 시흥능곡역점,경기 시흥시 능곡로 178,37.368132,126.811400,라이또PC,,"https://map.kakao.com/link/map/%EC%A0%9C%EB%A1%9C%EB%B0%B1PC%20%EC%8B%9C%ED%9D%A5%EB%8A%A5%EA%B3%A1%EC%97%AD%EC%A0%90,37.3681316677816,126.811400341122",,
A,양주덕정점,20231019404,500m밖,1065,놀자PC,경기 양주시 고원2길 145,37.831572,127.074427,,,"https://map.kakao.com/link/map/%EB%86%80%EC%9E%90PC,37.8315723263366,127.074426662014",,
-,양주덕정점,20231019404,500m안,87,피씨나인,경기 양주시 회정로 114,37.837264,127.065935,PC나인,,"https://map.kakao.com/link/map/%ED%94%BC%EC%94%A8%EB%82%98%EC%9D%B8,37.8372642127326,127.065934911896",,
