매장명,매장코드,개점일,매출기간,거리m,상호,주소,위도,경도,등급,판정,메모
진주혁신도시본점,20260626435,2026-06-26,2026-06 ~ 2026-08,41,버블PC 혁신도시점,경남 진주시 충의로 20-9,35.175786,128.147639,-,,
진주혁신도시본점,20260626435,2026-06-26,2026-06 ~ 2026-08,58,OXPC 진주혁신도시점,경남 진주시 충의로 22,35.176408,128.147486,-,,
진주혁신도시본점,20260626435,2026-06-26,2026-06 ~ 2026-08,84,더토랑 진주본점,경남 진주시 충의로 20-37,35.176144,128.148100,-,,
시흥능곡점,20230324392,2023-04-28,2023-05 ~ 2026-08,1570,슈프림PC CAFE,경기 시흥시 황고개로 486,37.374155,126.790167,A,폐업,
시흥능곡점,20230324392,2023-04-28,2023-05 ~ 2026-08,58,링크PC방,경기 시흥시 능곡번영길 25,37.369580,126.807237,-,,
시흥능곡점,20230324392,2023-04-28,2023-05 ~ 2026-08,187,골드PC,경기 시흥시 승지로59번길 8,37.369364,126.809056,-,,
시흥능곡점,20230324392,2023-04-28,2023-05 ~ 2026-08,351,욜로PC방 시흥능곡점,경기 시흥시 장현능곡로 188,37.369313,126.810997,-,,
시흥능곡점,20230324392,2023-04-28,2023-05 ~ 2026-08,435,제로백PC 시흥능곡역점,경기 시흥시 능곡로 178,37.368132,126.811400,-,,
양주덕정점,20231019404,2023-10-19,2023-11 ~ 2026-08,1065,놀자PC,경기 양주시 고원2길 145,37.831572,127.074427,A,폐업,
양주덕정점,20231019404,2023-10-19,2023-11 ~ 2026-08,87,피씨나인,경기 양주시 회정로 114,37.837264,127.065935,-,,
양주덕정점,20231019404,2023-10-19,2023-11 ~ 2026-08,245,썬게임장,경기 양주시 독바위로 30-1,37.838375,127.062444,-,,
양주덕정점,20231019404,2023-10-19,2023-11 ~ 2026-08,265,양주시 VR체험관,경기 양주시 화합로1426번길 90,37.838135,127.068049,-,,
검단사거리점,20260529432,,2026-06 ~ 2026-07,1404,제로백PC 인천마전역점,인천 검단구 완정로 43,37.595915,126.669294,A,영업,
검단사거리점,20260529432,,2026-06 ~ 2026-07,1673,아이센스리그PC방 인천마전점,인천 검단구 완정로 18,37.595086,126.672199,A,영업,
검단사거리점,20260529432,,2026-06 ~ 2026-07,1707,딜라잇PC,인천 검단구 완정로 14,37.594835,126.672475,A,영업,
